------------------------------------------------------ 1000 random configurations ---------------------------------------------------
			 rotation matrix 00-22						|		transition xyz	
-------------------------------------------------------------------------------------------------------------------------------------
-0.477095 -0.775331 -0.413815 -0.829425 0.552907 -0.0796777 0.290578 0.305214 -0.906868 	|	-0.366491 0.259388 0.217897 
-0.667122 -0.554136 0.497877 0.517662 0.13577 0.844744 -0.5357 0.821279 0.19628 	|	0.44592 0.796122 0.676215 
-0.861939 -0.393013 -0.320315 -0.151181 0.802256 -0.577521 0.483948 -0.449362 -0.750912 	|	-0.342987 -0.104214 -0.323049 
-0.138029 0.626841 -0.766824 -0.948847 -0.305674 -0.0790796 -0.283968 0.716683 0.636968 	|	-0.0547743 0.172213 1.1559 
-0.981567 -0.159985 0.10455 0.0436601 0.344874 0.937633 -0.186064 0.924915 -0.331532 	|	-0.0075598 0.705238 0.284583 
0.966195 -0.0141224 0.257427 0.0590721 0.984062 -0.167728 -0.250955 0.177265 0.951629 	|	0.563584 0.0596632 1.15631 
-0.443028 -0.865361 -0.234258 -0.69762 0.16865 0.696335 -0.563073 0.47192 -0.67841 	|	0.315728 -0.286013 -0.370523 
-0.271785 -0.291734 0.917073 -0.956768 -0.0206531 -0.290119 0.103578 -0.956276 -0.273509 	|	0.482569 0.517092 0.690331 
-0.480478 -0.126262 -0.86787 -0.247978 0.968759 -0.00365176 0.841218 0.213458 -0.496777 	|	-0.242641 0.193752 0.836411 
-0.483712 0.862177 -0.150578 -0.380819 -0.0524243 0.923162 0.788035 0.503887 0.353691 	|	0.132049 0.828384 0.842303 
-0.123712 -0.557639 0.820813 0.988513 0.00311094 0.151101 -0.0868133 0.830078 0.550849 	|	0.595165 -0.0388032 0.641524 
-0.86499 -0.148782 0.479224 -0.459477 0.618686 -0.637267 -0.201676 -0.771422 -0.603519 	|	0.703983 -0.136577 -0.122972 
0.715268 0.587331 -0.378726 -0.00840149 -0.534662 -0.845024 -0.698799 0.607601 -0.377492 	|	0.286441 -0.3062 0.282605 
0.0491079 -0.996291 0.070664 0.511073 0.0858508 0.855239 -0.858133 -0.00588459 0.513393 	|	0.543611 0.724744 0.688262 
-0.530757 -0.769807 0.354534 0.563857 -0.00842647 0.82583 -0.632742 0.638221 0.438533 	|	0.491041 0.446269 -0.253828 
0.365859 -0.356015 0.859884 0.770095 -0.403004 -0.494511 0.52259 0.843114 0.126722 	|	0.600499 0.251079 -0.0478445 
-0.800832 -0.566497 -0.19429 0.570298 -0.622315 -0.536176 0.182833 -0.54019 0.821442 	|	0.0106332 -0.453498 1.16661 
0.658592 0.619505 0.427165 -0.402697 -0.189384 0.895527 0.635682 -0.761805 0.124746 	|	0.44109 -0.115593 0.710441 
-0.260039 -0.881817 -0.393419 0.846083 -0.404426 0.34725 -0.46532 -0.242566 0.851257 	|	0.0862145 0.657221 0.969722 
-0.713701 0.188805 0.674525 -0.615456 -0.628815 -0.475191 0.334433 -0.754284 0.564987 	|	0.38869 -0.0380891 1.16216 
